FrameNumber,BrightArea,Intensity
142,8893.0,342.03846153846155
143,8893.0,342.03846153846155
144,8893.0,342.03846153846155
145,8893.0,342.03846153846155
146,8893.0,342.03846153846155
147,8893.0,342.03846153846155
148,8893.0,342.03846153846155
149,8893.0,342.03846153846155
150,8893.0,342.03846153846155
151,8893.0,342.03846153846155
152,8893.0,342.03846153846155
153,8893.0,342.03846153846155
154,8893.0,342.03846153846155
155,8893.0,342.03846153846155
156,8893.0,342.03846153846155
157,8893.0,342.03846153846155
158,8893.0,342.03846153846155
159,8893.0,342.03846153846155
160,8948.0,344.15384615384613
161,8891.0,341.96153846153845
162,8567.0,342.68
163,8495.0,353.9583333333333
164,8242.0,274.73333333333335
165,7365.5,272.7962962962963
166,7285.0,331.1363636363636
167,7239.0,344.7142857142857
168,6528.5,283.8478260869565
169,6398.0,255.92
170,6370.5,335.2894736842105
171,6190.0,281.3636363636364
172,5952.0,330.6666666666667
173,5528.0,240.34782608695653
174,5528.0,345.5
175,4965.5,171.22413793103448
176,4711.5,261.75
177,4628.5,308.56666666666666
178,4467.5,372.2916666666667
179,4301.5,391.04545454545456
180,3619.0,258.5
181,2805.0,133.57142857142858
182,2113.5,96.06818181818181
183,2014.0,287.7142857142857
184,1932.5,322.0833333333333
185,1670.5,151.86363636363637
186,1425.0,285.0
187,1027.0,256.75
188,848.5,212.125
189,411.5,205.75
190,162.0,162.0
191,0,0.0
192,0,0.0
193,0,0.0
194,0,0.0
195,0,0.0
196,0,0.0
197,0,0.0
198,0,0.0
199,0,0.0
200,0,0.0
201,0,0.0
202,0,0.0
203,0,0.0
204,0,0.0
205,0,0.0
206,0,0.0
207,0,0.0
208,0,0.0
209,0,0.0
210,0,0.0
211,0,0.0
212,0,0.0
213,0,0.0
214,0,0.0
215,0,0.0
216,0,0.0
217,0,0.0
218,0,0.0
219,0,0.0
220,0,0.0
221,0,0.0
222,0,0.0
223,0,0.0
224,0,0.0
225,4.0,2.0
226,22.5,7.5
227,40.0,5.714285714285714
228,94.0,4.476190476190476
229,161.5,6.211538461538462
230,327.5,5.646551724137931
231,327.5,5.646551724137931
232,332.5,5.732758620689655
233,332.5,5.732758620689655
234,335.5,5.7844827586206895
235,330.5,5.601694915254237
236,330.5,5.601694915254237
237,330.5,5.601694915254237
238,330.5,5.601694915254237
239,330.5,5.601694915254237
240,330.5,5.601694915254237
241,330.5,5.601694915254237
242,330.5,5.601694915254237
243,330.5,5.601694915254237
244,330.5,5.601694915254237
245,340.5,5.870689655172414
246,341.5,5.691666666666666
247,359.5,6.307017543859649
248,348.0,5.704918032786885
249,362.0,6.241379310344827
250,360.0,6.206896551724138
251,374.0,6.56140350877193
252,368.0,6.237288135593221
253,383.0,7.226415094339623
254,380.5,7.46078431372549
255,385.0,7.264150943396227
256,376.5,6.38135593220339
257,372.0,7.294117647058823
258,370.5,7.561224489795919
259,375.5,6.953703703703703
260,373.0,7.770833333333333
261,382.5,7.355769230769231
262,379.5,6.543103448275862
263,384.5,7.394230769230769
264,387.0,7.74
265,388.0,7.461538461538462
266,384.5,7.846938775510204
267,393.5,7.5673076923076925
268,399.0,7.528301886792453
269,412.5,8.088235294117647
270,398.5,7.518867924528302
271,398.5,7.813725490196078
272,407.5,7.546296296296297
273,417.5,7.198275862068965
274,412.5,7.366071428571429
275,415.5,7.419642857142857
276,421.0,7.258620689655173
277,426.5,7.754545454545455
278,419.0,8.057692307692308
279,413.0,7.9423076923076925
280,414.0,7.2631578947368425
281,415.5,8.147058823529411
282,424.0,8.48
283,423.5,7.177966101694915
284,424.0,7.571428571428571
285,427.5,8.066037735849056
286,431.0,7.431034482758621
287,433.0,8.66
288,432.5,8.317307692307692
289,432.0,7.322033898305085
290,436.5,8.083333333333334
291,428.0,8.56
292,432.0,7.714285714285714
293,427.5,7.245762711864407
294,425.5,8.864583333333334
295,428.0,8.23076923076923
296,435.5,7.640350877192983
297,431.5,7.5701754385964914
298,432.5,8.160377358490566
299,431.5,8.806122448979592
300,437.5,7.8125
301,434.5,8.35576923076923
302,434.5,8.046296296296296
303,440.0,7.719298245614035
304,449.5,8.324074074074074
305,444.0,7.7894736842105265
306,451.5,8.518867924528301
307,440.0,8.148148148148149
308,448.0,8.296296296296296
309,440.0,8.461538461538462
310,448.0,8.784313725490197
311,445.5,7.681034482758621
312,457.0,8.309090909090909
313,455.5,8.59433962264151
314,459.5,9.77659574468085
315,458.0,9.16
316,464.0,9.098039215686274
317,465.5,9.904255319148936
318,471.0,9.612244897959183
319,475.0,9.313725490196079
320,479.5,6.309210526315789
321,485.5,7.036231884057971
322,497.0,7.417910447761194
323,487.5,6.866197183098592
324,496.5,7.301470588235294
325,494.0,7.484848484848484
326,502.0,7.171428571428572
327,503.0,7.984126984126984
328,509.5,8.352459016393443
329,503.0,7.859375
330,494.0,7.841269841269841
331,504.5,8.007936507936508
332,511.0,7.514705882352941
333,518.0,7.731343283582089
334,510.0,7.846153846153846
335,507.0,7.681818181818182
336,510.5,8.508333333333333
337,523.0,8.864406779661017
338,530.0,8.030303030303031
339,523.5,8.581967213114755
340,537.5,8.26923076923077
341,536.5,8.128787878787879
342,538.0,8.819672131147541
343,537.5,8.531746031746032
344,543.0,8.227272727272727
345,553.0,9.216666666666667
346,550.0,10.185185185185185
347,552.5,10.045454545454545
348,558.0,9.0
349,562.5,9.698275862068966
350,560.5,9.663793103448276
351,567.0,9.14516129032258
352,570.0,8.76923076923077
353,562.0,10.035714285714286
354,576.0,10.472727272727273
355,572.0,9.694915254237289
356,570.5,10.564814814814815
357,568.0,10.142857142857142
358,583.5,9.1171875
359,585.5,9.598360655737705
360,580.5,9.838983050847459
361,586.0,9.15625
362,589.0,10.709090909090909
363,594.5,9.908333333333333
364,600.0,9.836065573770492
365,597.5,11.064814814814815
366,603.5,10.776785714285714
367,606.0,9.774193548387096
368,605.0,10.803571428571429
369,604.5,10.605263157894736
370,607.0,9.634920634920634
371,600.0,10.526315789473685
372,598.0,9.80327868852459
373,603.0,9.885245901639344
374,602.5,11.367924528301886
375,608.0,10.857142857142858
376,607.5,10.848214285714286
377,611.5,11.118181818181819
378,606.0,11.018181818181818
379,613.0,9.430769230769231
380,607.0,10.116666666666667
381,620.5,10.885964912280702
382,624.0,10.4
383,621.0,10.706896551724139
384,620.0,10.333333333333334
385,625.5,10.254098360655737
386,634.5,11.131578947368421
387,639.0,11.210526315789474
388,647.0,10.60655737704918
389,645.5,10.581967213114755
390,650.0,10.483870967741936
391,643.0,10.046875
392,635.0,9.477611940298507
393,631.0,10.694915254237289
394,629.5,11.043859649122806
395,636.0,10.258064516129032
396,650.0,10.15625
397,649.0,11.589285714285714
398,648.5,11.580357142857142
399,653.5,11.076271186440678
400,658.5,12.424528301886792
401,659.5,12.212962962962964
402,663.5,11.058333333333334
403,662.0,11.413793103448276
404,666.0,10.741935483870968
405,668.0,9.823529411764707
406,671.5,11.008196721311476
407,672.0,11.01639344262295
408,677.5,10.5859375
409,669.5,10.4609375
410,673.5,11.81578947368421
411,687.0,12.267857142857142
412,696.5,11.233870967741936
413,686.5,11.836206896551724
414,686.5,11.254098360655737
415,693.0,10.828125
416,685.0,11.610169491525424
417,688.5,11.28688524590164
418,689.0,10.43939393939394
419,683.0,11.016129032258064
420,670.5,11.364406779661017
421,661.0,9.720588235294118
422,662.0,10.34375
423,676.5,11.275
424,692.0,10.176470588235293
425,691.0,9.871428571428572
426,685.0,10.873015873015873
427,689.0,10.6
428,689.0,10.132352941176471
429,692.0,9.885714285714286
430,689.5,10.139705882352942
431,678.0,10.430769230769231
432,688.5,10.928571428571429
433,692.0,9.885714285714286
434,699.0,9.575342465753424
435,690.5,10.305970149253731
436,683.5,10.515384615384615
437,685.5,9.934782608695652
438,686.0,10.88888888888889
439,697.5,11.434426229508198
440,702.5,10.9765625
441,699.5,12.271929824561404
442,705.5,12.598214285714286
443,707.0,10.712121212121213
444,709.5,9.719178082191782
445,706.0,10.861538461538462
446,723.0,11.296875
447,724.0,10.342857142857143
448,719.0,11.983333333333333
449,724.0,11.492063492063492
450,728.5,10.407142857142857
451,725.5,10.828358208955224
452,737.0,12.283333333333333
453,739.5,12.325
454,746.5,10.977941176470589
455,742.5,12.375
456,748.5,12.270491803278688
457,750.0,11.363636363636363
458,742.0,13.017543859649123
459,757.0,12.209677419354838
460,763.0,11.220588235294118
461,758.5,12.233870967741936
462,751.0,12.516666666666667
463,750.5,11.546153846153846
464,749.5,12.28688524590164
465,759.0,13.553571428571429
466,765.0,11.417910447761194
467,757.5,13.060344827586206
468,746.5,12.870689655172415
469,752.0,11.75
470,760.5,11.8828125
471,748.0,11.873015873015873
472,748.0,13.357142857142858
473,755.5,12.385245901639344
474,771.5,12.0546875
475,774.0,13.11864406779661
476,769.5,13.042372881355933
477,766.0,13.927272727272728
478,769.0,14.24074074074074
479,775.0,12.704918032786885
480,791.5,7.994949494949495
481,813.0,9.238636363636363
482,800.0,9.523809523809524
483,793.5,9.446428571428571
484,787.0,9.716049382716049
485,789.0,9.068965517241379
486,788.0,10.944444444444445
487,810.0,11.73913043478261
488,810.5,10.259493670886076
489,813.0,11.450704225352112
490,811.5,11.429577464788732
491,813.5,10.993243243243244
492,813.5,12.14179104477612
493,818.5,12.592307692307692
494,826.5,11.16891891891892
495,825.5,11.626760563380282
496,827.0,12.161764705882353
497,831.0,10.792207792207792
498,830.0,12.575757575757576
499,830.5,12.9765625
500,831.0,11.383561643835616
501,829.0,12.56060606060606
502,840.0,12.352941176470589
503,839.0,11.816901408450704
504,833.0,12.25
505,823.5,12.110294117647058
506,823.5,10.835526315789474
507,822.0,12.646153846153846
508,822.5,12.462121212121213
509,828.0,11.5
510,826.0,11.162162162162161
